 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+05 eV = 3.67493E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 5.76694E-18 cm**2 = 2.05941E-01 a0**2
 # 1st transport cross section = 1.86853E-20 cm**2 = 6.67264E-04 a0**2
 # 2nd transport cross section = 4.84743E-20 cm**2 = 1.73105E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  4.250E-01  1.37553E-05  2.83585E-15  1.01270E+02  2.00322E-06  1.0E-07
  4.500E-01  1.54212E-05  2.72435E-15  9.72884E+01  2.15750E-06  1.0E-07
  4.750E-01  1.71822E-05  2.61569E-15  9.34079E+01  2.31694E-06  1.0E-07
  5.000E-01  1.90385E-05  2.51024E-15  8.96423E+01  2.48159E-06  1.0E-07
  5.250E-01  2.09899E-05  2.40829E-15  8.60018E+01  2.65147E-06  1.0E-07
  5.500E-01  2.30365E-05  2.31005E-15  8.24934E+01  2.82660E-06  1.0E-07
  5.750E-01  2.51783E-05  2.21563E-15  7.91216E+01  3.00699E-06  1.0E-07
  6.000E-01  2.74153E-05  2.12509E-15  7.58884E+01  3.19262E-06  1.0E-07
  6.250E-01  2.97475E-05  2.03844E-15  7.27939E+01  3.38349E-06  1.0E-07
  6.500E-01  3.21749E-05  1.95563E-15  6.98368E+01  3.57957E-06  1.0E-07
  6.750E-01  3.46974E-05  1.87659E-15  6.70144E+01  3.78084E-06  1.0E-07
  7.000E-01  3.73152E-05  1.80123E-15  6.43231E+01  3.98727E-06  1.0E-07
  7.250E-01  4.00281E-05  1.72942E-15  6.17586E+01  4.19884E-06  1.0E-07
  7.500E-01  4.28362E-05  1.66102E-15  5.93161E+01  4.41550E-06  1.0E-07
  7.750E-01  4.57395E-05  1.59590E-15  5.69905E+01  4.63724E-06  1.0E-07
  8.000E-01  4.87380E-05  1.53390E-15  5.47765E+01  4.86403E-06  1.0E-07
  8.250E-01  5.18317E-05  1.47487E-15  5.26687E+01  5.09584E-06  1.0E-07
  8.500E-01  5.50205E-05  1.41868E-15  5.06619E+01  5.33267E-06  1.0E-07
  8.750E-01  5.83045E-05  1.36516E-15  4.87506E+01  5.57450E-06  1.0E-07
  9.000E-01  6.16838E-05  1.31417E-15  4.69298E+01  5.82133E-06  1.0E-07
  9.250E-01  6.51582E-05  1.26558E-15  4.51946E+01  6.07315E-06  1.0E-07
  9.500E-01  6.87277E-05  1.21925E-15  4.35401E+01  6.32997E-06  1.0E-07
  9.750E-01  7.23925E-05  1.17505E-15  4.19620E+01  6.59180E-06  1.0E-07
  1.000E+00  7.61524E-05  1.13288E-15  4.04558E+01  6.85863E-06  1.0E-07
  1.100E+00  9.21439E-05  9.82159E-16  3.50735E+01  7.97626E-06  1.0E-07
  1.200E+00  1.09658E-04  8.55737E-16  3.05589E+01  9.17548E-06  1.0E-07
  1.300E+00  1.28695E-04  7.48770E-16  2.67391E+01  1.04582E-05  1.0E-07
  1.400E+00  1.49255E-04  6.57551E-16  2.34816E+01  1.18266E-05  1.0E-07
  1.500E+00  1.71338E-04  5.79231E-16  2.06847E+01  1.32833E-05  1.0E-07
  1.600E+00  1.94942E-04  5.11601E-16  1.82696E+01  1.48306E-05  1.0E-07
  1.700E+00  2.20070E-04  4.52922E-16  1.61741E+01  1.64712E-05  1.0E-07
  1.800E+00  2.46720E-04  4.01805E-16  1.43487E+01  1.82072E-05  1.0E-07
  1.900E+00  2.74892E-04  3.57127E-16  1.27532E+01  2.00410E-05  1.0E-07
  2.000E+00  3.04586E-04  3.17967E-16  1.13548E+01  2.19745E-05  1.0E-07
  2.100E+00  3.35803E-04  2.83560E-16  1.01261E+01  2.40093E-05  1.0E-07
  2.200E+00  3.68542E-04  2.53267E-16  9.04433E+00  2.61470E-05  1.0E-07
  2.300E+00  4.02802E-04  2.26547E-16  8.09014E+00  2.83886E-05  1.0E-07
  2.400E+00  4.38585E-04  2.02941E-16  7.24715E+00  3.07351E-05  1.0E-07
  2.500E+00  4.75889E-04  1.82055E-16  6.50129E+00  3.31869E-05  1.0E-07
  2.600E+00  5.14715E-04  1.63550E-16  5.84049E+00  3.57442E-05  1.0E-07
  2.700E+00  5.55063E-04  1.47135E-16  5.25429E+00  3.84069E-05  1.0E-07
  2.800E+00  5.96931E-04  1.32556E-16  4.73365E+00  4.11745E-05  1.0E-07
  2.900E+00  6.40321E-04  1.19592E-16  4.27070E+00  4.40463E-05  1.0E-07
  3.000E+00  6.85233E-04  1.08051E-16  3.85857E+00  4.70213E-05  1.0E-07
  3.100E+00  7.31665E-04  9.77656E-17  3.49127E+00  5.00982E-05  1.0E-07
  3.200E+00  7.79618E-04  8.85890E-17  3.16357E+00  5.32754E-05  1.0E-07
  3.300E+00  8.29092E-04  8.03922E-17  2.87086E+00  5.65513E-05  1.0E-07
  3.400E+00  8.80086E-04  7.30623E-17  2.60910E+00  5.99241E-05  1.0E-07
  3.500E+00  9.32601E-04  6.65001E-17  2.37476E+00  6.33917E-05  1.0E-07
  3.600E+00  9.86636E-04  6.06184E-17  2.16472E+00  6.69522E-05  1.0E-07
  3.700E+00  1.04219E-03  5.53403E-17  1.97624E+00  7.06034E-05  1.0E-07
  3.800E+00  1.09927E-03  5.05981E-17  1.80689E+00  7.43435E-05  1.0E-07
  3.900E+00  1.15786E-03  4.63322E-17  1.65455E+00  7.81702E-05  1.0E-07
  4.000E+00  1.21797E-03  4.24899E-17  1.51734E+00  8.20818E-05  1.0E-07
  4.100E+00  1.27961E-03  3.90248E-17  1.39360E+00  8.60765E-05  1.0E-07
  4.200E+00  1.34276E-03  3.58958E-17  1.28186E+00  9.01525E-05  1.0E-07
  4.300E+00  1.40743E-03  3.30667E-17  1.18083E+00  9.43084E-05  1.0E-07
  4.400E+00  1.47362E-03  3.05052E-17  1.08936E+00  9.85429E-05  1.0E-07
  4.500E+00  1.54133E-03  2.81830E-17  1.00643E+00  1.02855E-04  1.0E-07
  4.600E+00  1.61056E-03  2.60750E-17  9.31153E-01  1.07243E-04  1.0E-07
  4.700E+00  1.68131E-03  2.41586E-17  8.62721E-01  1.11708E-04  1.0E-07
  4.800E+00  1.75357E-03  2.24143E-17  8.00429E-01  1.16248E-04  1.0E-07
  4.900E+00  1.82735E-03  2.08243E-17  7.43650E-01  1.20863E-04  1.0E-07
  5.000E+00  1.90265E-03  1.93731E-17  6.91824E-01  1.25552E-04  1.0E-07
