 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 1.15525E-16 cm**2 = 4.12546E+00 a0**2
 # 1st transport cross section = 1.27024E-17 cm**2 = 4.53611E-01 a0**2
 # 2nd transport cross section = 2.43352E-17 cm**2 = 8.69026E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  7.250E-03  4.00286E-09  1.41956E-15  5.06936E+01  8.63779E-09  1.0E-07
  7.500E-03  4.28368E-09  1.41956E-15  5.06935E+01  8.93565E-09  1.0E-07
  7.750E-03  4.57402E-09  1.41956E-15  5.06935E+01  9.23350E-09  1.0E-07
  8.000E-03  4.87388E-09  1.41956E-15  5.06935E+01  9.53136E-09  1.0E-07
  8.250E-03  5.18326E-09  1.41956E-15  5.06935E+01  9.82922E-09  1.0E-07
  8.500E-03  5.50215E-09  1.41956E-15  5.06935E+01  1.01271E-08  1.0E-07
  8.750E-03  5.83057E-09  1.41956E-15  5.06935E+01  1.04249E-08  1.0E-07
  9.000E-03  6.16850E-09  1.41956E-15  5.06935E+01  1.07228E-08  1.0E-07
  9.250E-03  6.51596E-09  1.41956E-15  5.06935E+01  1.10206E-08  1.0E-07
  9.500E-03  6.87293E-09  1.41956E-15  5.06935E+01  1.13185E-08  1.0E-07
  9.750E-03  7.23942E-09  1.41956E-15  5.06935E+01  1.16164E-08  1.0E-07
  1.000E-02  7.61544E-09  1.41956E-15  5.06935E+01  1.19142E-08  1.0E-07
  1.250E-02  1.18991E-08  1.41956E-15  5.06934E+01  1.48928E-08  1.0E-07
  1.500E-02  1.71347E-08  1.41956E-15  5.06933E+01  1.78713E-08  1.0E-07
  1.750E-02  2.33223E-08  1.41955E-15  5.06931E+01  2.08499E-08  1.0E-07
  2.000E-02  3.04617E-08  1.41955E-15  5.06930E+01  2.38285E-08  1.0E-07
  2.250E-02  3.85531E-08  1.41954E-15  5.06928E+01  2.68071E-08  1.0E-07
  2.500E-02  4.75965E-08  1.41954E-15  5.06926E+01  2.97858E-08  1.0E-07
  2.750E-02  5.75917E-08  1.41953E-15  5.06924E+01  3.27644E-08  1.0E-07
  3.000E-02  6.85389E-08  1.41952E-15  5.06921E+01  3.57431E-08  1.0E-07
  3.250E-02  8.04380E-08  1.41952E-15  5.06918E+01  3.87218E-08  1.0E-07
  3.500E-02  9.32891E-08  1.41951E-15  5.06916E+01  4.17005E-08  1.0E-07
  3.750E-02  1.07092E-07  1.41950E-15  5.06912E+01  4.46792E-08  1.0E-07
  4.000E-02  1.21847E-07  1.41949E-15  5.06909E+01  4.76580E-08  1.0E-07
  4.250E-02  1.37554E-07  1.41948E-15  5.06906E+01  5.06368E-08  1.0E-07
  4.500E-02  1.54213E-07  1.41947E-15  5.06902E+01  5.36156E-08  1.0E-07
  4.750E-02  1.71823E-07  1.41946E-15  5.06898E+01  5.65945E-08  1.0E-07
  5.000E-02  1.90386E-07  1.41945E-15  5.06894E+01  5.95734E-08  1.0E-07
  5.250E-02  2.09900E-07  1.41943E-15  5.06889E+01  6.25523E-08  1.0E-07
  5.500E-02  2.30367E-07  1.41942E-15  5.06885E+01  6.55313E-08  1.0E-07
  5.750E-02  2.51785E-07  1.41941E-15  5.06880E+01  6.85103E-08  1.0E-07
  6.000E-02  2.74156E-07  1.41939E-15  5.06875E+01  7.14894E-08  1.0E-07
  6.250E-02  2.97478E-07  1.41938E-15  5.06870E+01  7.44685E-08  1.0E-07
  6.500E-02  3.21752E-07  1.41936E-15  5.06864E+01  7.74476E-08  1.0E-07
  6.750E-02  3.46978E-07  1.41935E-15  5.06859E+01  8.04268E-08  1.0E-07
  7.000E-02  3.73156E-07  1.41933E-15  5.06853E+01  8.34061E-08  1.0E-07
  7.250E-02  4.00286E-07  1.41932E-15  5.06847E+01  8.63854E-08  1.0E-07
  7.500E-02  4.28368E-07  1.41930E-15  5.06840E+01  8.93647E-08  1.0E-07
  7.750E-02  4.57402E-07  1.41928E-15  5.06834E+01  9.23441E-08  1.0E-07
  8.000E-02  4.87388E-07  1.41926E-15  5.06827E+01  9.53236E-08  1.0E-07
  8.250E-02  5.18325E-07  1.41924E-15  5.06820E+01  9.83031E-08  1.0E-07
  8.500E-02  5.50215E-07  1.41922E-15  5.06813E+01  1.01283E-07  1.0E-07
  8.750E-02  5.83057E-07  1.41920E-15  5.06806E+01  1.04262E-07  1.0E-07
  9.000E-02  6.16850E-07  1.41918E-15  5.06798E+01  1.07242E-07  1.0E-07
  9.250E-02  6.51596E-07  1.41916E-15  5.06790E+01  1.10222E-07  1.0E-07
  9.500E-02  6.87293E-07  1.41914E-15  5.06782E+01  1.13202E-07  1.0E-07
